_id;achievement_count;birth_year;city;elapsed_time;gender;main_type;start_date;subtype;type;upper_extremity_muscle_strength;user_id
637acec70de1e4546174798b;;1957;雲林縣;;女;PhysicalFitness;2022/11/8 14:52;RightHandGripStrengthTest;ElderPhysicalFitness;28.1;U81097
637acec70de1e45461747992;;1970;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;23;U09080
637acec70de1e45461747999;;1950;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;23.6;U38988
637acec70de1e454617479a0;;1960;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;71;U56796
637acec70de1e454617479a7;;1959;雲林縣;;男;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;34.6;U00001
637acec70de1e454617479ae;;1957;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;22.1;U00002
637acec70de1e454617479b5;;1957;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;17.3;U00003
637acec70de1e454617479bc;;1957;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;23.8;U00004
637acec70de1e454617479c3;;1950;雲林縣;;男;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;38.3;U18607
637acec70de1e454617479ca;;1953;雲林縣;;男;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;48.1;U77964
637acec70de1e454617479d1;;1947;雲林縣;;男;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;34.2;U18796
637acec70de1e454617479d8;;1955;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;17.7;U52567
637acec70de1e454617479df;;1956;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;25.9;U95606
637acec70de1e454617479e6;;1944;雲林縣;;男;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;26.3;U69444
637acec70de1e454617479ed;;1958;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;39.4;U65824
637acec70de1e454617479f4;;1957;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;33.1;U00005
637acec70de1e454617479fb;;1957;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;16.5;U00006
637acec70de1e45461747a02;;1957;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;19.9;U62065
637acec70de1e45461747a09;;1946;雲林縣;;男;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;23.6;U00007
637acec70de1e45461747a10;;1959;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;25;U00654
637acec70de1e45461747a17;;1957;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;20.4;U58650
637acec70de1e45461747a1e;;1950;雲林縣;;男;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;38.3;U18581
637acec70de1e45461747a25;;1957;雲林縣;;女;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;27.4;U98714
637acec70de1e45461747a2c;;1950;雲林縣;;男;PhysicalFitness;2022/11/8 16:41;RightHandGripStrengthTest;ElderPhysicalFitness;32.7;U18769
63840a9148107a20009096b7;;1939;雲林縣;;女;PhysicalFitness;2022/11/15 19:07;RightHandGripStrengthTest;ElderPhysicalFitness;14.3;U00008
63840a9148107a20009096be;;1960;雲林縣;;男;PhysicalFitness;2022/11/15 19:07;RightHandGripStrengthTest;ElderPhysicalFitness;38.1;U61922
63840a9148107a20009096c5;;1957;雲林縣;;男;PhysicalFitness;2022/11/15 19:07;RightHandGripStrengthTest;ElderPhysicalFitness;19.5;U00009
63840a9148107a20009096cc;;1957;雲林縣;;女;PhysicalFitness;2022/11/15 19:07;RightHandGripStrengthTest;ElderPhysicalFitness;23.7;U00010
63840a9148107a20009096d3;;1935;雲林縣;;女;PhysicalFitness;2022/11/15 19:07;RightHandGripStrengthTest;ElderPhysicalFitness;16.9;U00011
63840a9148107a20009096da;;1957;雲林縣;;男;PhysicalFitness;2022/11/15 19:07;RightHandGripStrengthTest;ElderPhysicalFitness;18.8;U00012
63840a9148107a20009096e5;;1968;雲林縣;;女;PhysicalFitness;2022/11/15 19:07;RightHandGripStrengthTest;ElderPhysicalFitness;28;U59498
63840a9148107a20009096ec;;1957;雲林縣;;女;PhysicalFitness;2022/11/15 19:07;RightHandGripStrengthTest;ElderPhysicalFitness;5.8;U00013
63840a9148107a20009096f2;;1957;雲林縣;;男;PhysicalFitness;2022/11/15 19:07;RightHandGripStrengthTest;ElderPhysicalFitness;25.9;U00014
